"","eventid","eventname","subtype","description","price","openWeek","closeWeek","openSat","closeSat","openSun","closeSun","eventlength","popularity","latitude","longitude","address"
"Leopard Bar",2,"Leopard Bar","bars","The Sedgwick County Zoo is an AZA-accredited wildlife park and major attraction in Wichita, Kansas. Founded in 1971 with the help of the Sedgwick County Zoological Society, the zoo has quickly become recognized both nationally and internationally for its support of conservation programs and successful breeding of rare and endangered species.",NA,NA,NA,NA,NA,NA,NA,NA,141,18.3770622,-33.9533707,"Victoria Road, Camps Bay, Western Cape, South Africa"
"The Piano Bar Cape Town",4,"The Piano Bar Cape Town","bars","There is no description available.",NA,NA,NA,NA,NA,NA,NA,NA,122,18.4171,-33.9155299,"47 Napier Street, Cape Town Central, Western Cape, South Africa"
"Alexander Bar, Cafe & Theatre",6,"Alexander Bar, Cafe & Theatre","bars","There is no description available.",NA,NA,NA,NA,NA,NA,NA,NA,45,18.42052,-33.9197599,"76 Strand Street, Cape Town Central, Western Cape, South Africa"
"Bascule Whisky, Wine & Cocktail Bar",8,"Bascule Whisky, Wine & Cocktail Bar","bars","There is no description available.",NA,NA,NA,NA,NA,NA,NA,NA,72,18.4211577,-33.9096181,"West Quay Road, Cape Town Central, Western Cape, South Africa"
"Orphanage",10,"Orphanage","bars","An orphanage is a residential institution devoted to the care of orphans – children whose biological parents are deceased or otherwise unable or unwilling to care for them.",NA,NA,NA,NA,NA,NA,NA,NA,85,18.4132399,-33.9258499,"227 Bree Street, Cape Town Central, Western Cape, South Africa"
"Ashanti Lodge Gardens",12,"Ashanti Lodge Gardens","bars","There is no description available.",NA,NA,NA,NA,NA,NA,NA,NA,435,18.41219,-33.93347,"11 Hof Street, Cape Town Central, Western Cape, South Africa"
"Twankey Bar",14,"Twankey Bar","bars","Robert Guy Bathurst is an English actor. Bathurst was born in the Gold Coast in 1957, where his father was working as a management consultant. His family moved to Dublin, Ireland, in 1959 and Bathurst was enrolled at an Anglican boarding school.",NA,NA,NA,NA,NA,NA,NA,NA,45,18.4176948,-33.9232063,"Wale Street, Cape Town Central, Western Cape, South Africa"
"House of Machines",16,"House of Machines","bars","A weigh house or weighing house is a public building at or within which goods, and the like, are weighed. Most of these buildings were built before 1800, prior to the establishment of international standards for weights.",NA,NA,NA,NA,NA,NA,NA,NA,43,18.4187664,-33.9213101,"84 Shortmarket Street, Cape Town Central, Western Cape, South Africa"
"Charango Grill and Bar",18,"Charango Grill and Bar","bars","There is no description available.",NA,NA,NA,NA,NA,NA,NA,NA,100,18.417,-33.9219099,"114 Bree Street, Cape Town Central, Western Cape, South Africa"
"Long Street",20,"Long Street","bars","Long Street is a major street located in the City Bowl section of Cape Town, South Africa. It is famous as a bohemian hang out and the street is lined with many book stores, various ethnic restaurants and bars.",NA,NA,NA,NA,NA,NA,NA,NA,554,18.4187029,-33.9242692,"Cape Town Central, Western Cape, South Africa"
